秒换台465.94,#genre#
CCTV5,http://119.125.130.175:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://119.125.130.175:9901/tsfile/live/0016_1.m3u8
CCTV6,http://119.125.130.175:9901/tsfile/live/0006_1.m3u8
CCTV7,http://119.125.130.175:9901/tsfile/live/0007_1.m3u8
CCTV8,http://119.125.130.175:9901/tsfile/live/0008_1.m3u8
CCTV9,http://119.125.130.175:9901/tsfile/live/0009_1.m3u8
CCTV11,http://119.125.130.175:9901/tsfile/live/0011_1.m3u8
CCTV12,http://119.125.130.175:9901/tsfile/live/0012_1.m3u8
CCTV13,http://119.125.130.175:9901/tsfile/live/0013_1.m3u8
CCTV14,http://119.125.130.175:9901/tsfile/live/0014_1.m3u8
CCTV15,http://119.125.130.175:9901/tsfile/live/0015_1.m3u8
CCTV16,http://119.125.130.175:9901/tsfile/live/1008_1.m3u8
北京卫视,http://119.125.130.175:9901/tsfile/live/1039_1.m3u8
吉林卫视,http://119.125.130.175:9901/tsfile/live/1051_1.m3u8
东南卫视,http://119.125.130.175:9901/tsfile/live/1050_1.m3u8
天津卫视,http://119.125.130.175:9901/tsfile/live/1040_1.m3u8
云南卫视,http://119.125.130.175:9901/tsfile/live/0119_1.m3u8
兵团卫视,http://119.125.130.175:9901/tsfile/live/0115_1.m3u8
内蒙古卫视,http://119.125.130.175:9901/tsfile/live/0109_1.m3u8
CGTN,http://119.125.130.175:9901/tsfile/live/1018_1.m3u8
CHC家庭电影,http://119.125.130.175:9901/tsfile/live/1027_1.m3u8
三沙卫视,http://119.125.130.175:9901/tsfile/live/1020_1.m3u8
上海卫视,http://119.125.130.175:9901/tsfile/live/1037_1.m3u8
上海纪实,http://119.125.130.175:9901/tsfile/live/1055_1.m3u8
中国教育,http://119.125.130.175:9901/tsfile/live/1052_1.m3u8
佳嘉卡通,http://119.125.130.175:9901/tsfile/live/1030_1.m3u8
凤凰中文,http://119.125.130.175:9901/tsfile/live/1019_1.m3u8
南方卫视,http://119.125.130.175:9901/tsfile/live/1015_1.m3u8
卡酷少儿,http://119.125.130.175:9901/tsfile/live/1031_1.m3u8
厦门卫视,http://119.125.130.175:9901/tsfile/live/0129_1.m3u8
